Day 1,,,,,,,,,,,
,,,,,,,,,,,
Week,Push press,,Pull-ups,,Lateral squat,,Zercher deadlift,,Cardio,,Notes
1,1,30kg x 6,1,10kg x 3,1,10,1,30kg x 10,,,
,2,35kg x 6,2,10kg x 3,2,10,2,30kg x 10,,,
10 Nov,3,40kg x 6,3,10kg x 3,3,10,3,35kg x 10,,,
,4,40kg x 6,,,,,,,,,
,,,,,,,,,,,
2,1,40kg x 6,1,14kg x 3,1,5kg x 10,1,35kg x 10,Rowing 20min,,
,2,40kg x 6,2,14kg x 3,2,5kg x 10,2,40kg x 10,,,
17 Nov,3,40kg x 6,3,14kg x 3,3,5 kg x 10,3,40kg x 10,,,
,4,40kg x 6,4,,,,,,,,
,,,,,,,,,,,
3,1,40kg x 6,1,16kg x 3,1,8kg x 10,1,40kg x 10,,,
,2,40kg x 6,2,16kg x 3,2,12kg x 10,2,45kg x 10,,,
24 Nov,3,45kg x 6,3,16kg x 3,3,12kg x 10,3,45kg x 10,,,
,4,45kg x 6,,,,,,,,,
,,,,,,,,,,,
4,1,40kg x 6,1,16kg x 3,1,10kg x 10,1,45kg x 10,,,
,2,45kg x 6,2,16kg x 3,2,12kg x 10,2,45kg x 10,,,
1 Dec,3,45kg x 6,3,16kg x 3,3,12kg x 10,3,45kg x 10,,,
,4,45kg x 6,4,16kg x 3,,,,,,,
,,,,,,,,,,,
5,1,45kg x 6,1,16kg x 3,1,12kg x 10,1,45kg x 10,,,
,2,47.5kg x 6,2,16kg x 3,2,12kg x 10,2,50kg x 10,,,
8 Dec,3,47.5kg x 6,3,16kg x 3,3,12kg x 10,3,50kg x 10,,,
,4,47.5kg x 6,4,16kg x 3,,,,,,,
,,,5,16kg x 3,,,,,,,
6,1,45kg x 6,1,18kg x 3,1,14kg x 10,1,50kg x 10,,,
,2,47.5kg x 6,2,18kg x 3,2,14kg x 10,2,55kg x 10,,,
15 Dec,3,50kg x 6,3,18kg x 3,3,14kg x 10,3,55kg x 10,,,
,4,50kg x 6,4,18kg x 3,,,,,,,
,,,,,,,,,,,
7,1,50kg x 6,1,18kg x 4,1,14kg x 8,1,60kg x 8,,,
,2,50kg x 6,2,18kg x 4,2,14kg x 6,2,60kg x 8,,,
22 Dec,3,50kg x 6,3,18kg x 4,3,14kg x 6,3,60kg x 8,,,
,4,50kg x 6,4,18kg x 4,,,,,,,
,,,5,18kg x 4,,,,,,,
8,1,50kg x 6,1,18kg x 5,1,14kg x 6,1,60kg x 8,,,
,2,52.5kg x 5,2,18kg x 5,2,14kg x 6,2,60kg x 8,,,
29 Dec,3,52.5kg x 4,3,18kg x 5,3,14kg x 6,3,60kg x 8,,,
,4,52.5kg x 4,4,18kg x 5,,,,,,,
,,,5,18kg x 5,,,,,,,
9,1,52.5kg x 4,1,20kg x 4,1,16kg x 6,1,60kg x 8,,,
,2,52.5kg x 4,2,20kg x 4,2,16kg x 6,2,60kg x 8,,,
5 Jan,3,52.5kg x 4,3,20kg x 4,3,16kg x 6,3,60kg x 8,,,
,4,52.5kg x 4,4,20kg x 4,,,,,,,
,,,5,20kg x 4,,,,,,,
10,1,52.5kg x 5,1,20kg x 5,1,16kg x 8,1,60kg x 8,,,
,2,52.5kg x 5,2,20kg x 5,2,16kg x 8,2,65kg x 6,,,
12 Jan,3,55kg x 4,3,20kg x 5,3,16kg x 8,3,65kg x 6,,,
,4,55kg x 4,4,20kg x 5,,,,,,,
,,,5,20kg x 5,,,,,,,
