Day 2,,,,,,,,,,,
,,,,,,,,,,,
Week,Depth jump,,Back squat,,Push-ups,,Curls,,Cardio,,Notes
1,40cm - 60 cm x 12,,"80kg x 20
5 min 30 sec",,1,5kg x 12,1,20kg x 12,,,
,,,,,2,5kg x 12,2,20kg x 12,,,
10 Nov,,,,,3,5kg x 12,3,20kg x 12,,,
2,40cm  - 70 cm x 12,,"80kg x 20
4 min 45 sec",,1,5kg x 12,1,20kg x 12,"23 min running
Average Heart Rate 146 bpm",,
,,,,,2,5kg x 12,2,25kg x 10,,,
17 Nov,,,,,3,5kg x 12,3,25kg x 8,,,
3,60cm - 75cm x 12,,"85kg x 20 (5x4)
6min",,1,7.5kg x 12,1,25kg x 12,"35 min cycling
Average Heart Rate 144 bpm",,
,,,,,2,7.5kg x 12,2,25kg x 12,,,
24 Nov,,,,,3,7.5kg x 12,3,25kg x 10,,,
4,60cm - 80cm x 12,,"85kg x 20 (4x5)
5 min 5 sec",,1,7.5kg x 12,1,25kg x 12,"38 min cycling
Average Heart Rate 153 bpm",,
,,,,,2,10kg x 12,2,25kg x 10,,,
1 Dec,,,,,3,10kg x 12,3,25kg x 10,,,
5,"40cm - 80cm x 4
60cm - 80cm x 4
60cm - 85cm x 4",,"87.5kg x 20 (5x4)
6 min",,1,10kg x 12,1,25kg x 12,,,
,,,,,2,10kg x 12,2,25kg x 12,,,
8 Dec,,,,,3,10kg x 12,3,25kg x 12,,,
6,60cm - 75cm x 12,,"87.5kg x 20 (4,5,5,6)
5 min",,1,15kg x 12,1,25kg x 12,,,
,,,,,2,15kg x 10,2,25kg x 8,,,
15 Dec,,,,,3,15kg x 9,3,25kg x 8,,,
7,60cm - 75cm x 12,,"90kg x 20 (4,5,6,5)
5 min 50 sec",,1,15kg x 12,1,30kg x 8,,,
,,,,,2,15kg x 12,2,30kg x 8,,,
22 Dec,,,,,3,15kg x 10,3,30kg x 8,,,
8,60cm - 75cm x 12,,"90kg x 20 (4x5)
5 min",,1,15kg x 12,1,30kg x 8,,,
,,,,,2,15kg x 12,2,30kg x 8,,,
29 Dec,,,,,3,15kg x 12,3,30kg x 8,,,
9,60cm - 75cm x 12,,"95kg x 20 (5,4,4,4,3)
7 min 10 sec",,1,20kg x 10,1,30kg x 10,,,
,,,,,2,20kg x 9,2,30kg x 8,,,
5 Jan,,,,,3,20kg x 8,3,30kg x 8,,,
10,60cm - 75cm x 8,,"95kg x 20 (4x5)
5 min 50 sec",,1,20kg x 10,1,30kg x 10,,,
,,,,,2,20kg x 8,2,30kg x 10,,,
12 Jan,,,,,3,20kg x 8,3,30kg x 8,,,
