Day 3,,,,,,,,,,,
,,,,,,,,,,,
Week,Power clean,,Close grip bench,,Sit-ups,,Chest support row,,Cardio,,Notes
1,45kg x 10 x 2,,1,50kg x 10,1,8kg x 12,1,44kg x 10,,,
,,,2,55kg x 10,2,8kg x 12,2,44kg x 10,,,
10 Nov,,,3,55kg x 10,3,8kg x 12,3,44kg x 10,,,
2,50kg x 10 x 2,,1,60kg x 10,1,10kg x 12,1,48kg x 10,,,
,,,2,60kg x 10,2,10kg x 12,2,48kg x 10,,,
17 Nov,,,3,60kg x 10,3,10kg x 12,3,48kg x 10,,,
3,50kg x 10 x 2,,1,60kg x 10,1,12kg x 12,1,52kg x 10,,,
,,,2,65kg x 10,2,10kg x 12,2,52kg x 10,,,
24 Nov,,,3,65kg x 10,3,10kg x 12,3,52kg x 10,,,
4,"55kg x 9 x 2
55kg x 1 x 1",,1,65kg x 10,1,10kg x 12,1,52kg x 10,"45 min cycling
Average Heart Rate 143 bpm",,
,,,2,65kg x 10,2,10kg x 12,2,52kg x 10,,,
1 Dec,,,3,65kg x 10,3,10kg x 12,3,52kg x 10,,,
5,"55kg x 8 x 2
55kg x 2 x 1",,1,65kg x 10,1,12kg x 12,1,52kg x 10,,,
,,,2,70kg x 10,2,12kg x 12,2,56kg x 10,,,
8 Dec,,,3,70kg x 10,3,12kg x 12,3,56kg x 10,,,
6,55kg x 10 x 2,,1,70kg x 10,1,10kg x 12,1,56kg x 10,,,
,,,2,75kg x 10,2,10kg x 12,2,56kg x 10,,,
15 Dec,,,3,75kg x 10,3,10kg x 12,3,56kg x 10,,,
7,57.5kg x 10 x 2,,1,75kg x 8,1,15kg x 12,1,60kg x 8,,,
,,,2,75kg x 8,2,15kg x 10,2,60kg x 8,,,
22 Dec,,,3,75kg x 8,3,15kg x 10,3,60kg x 8,,,
8,57.5kg x 10 x 2,,1,75kg x 8,1,15kg x 10,1,60kg x 8,,,
,,,2,75kg x 8,2,15kg x 10,2,60kg x 8,,,
29 Dec,,,3,75kg x 8,3,15kg x 10,3,60kg x 8,,,
9,"60kg x 1 x 2
60kg x 9 x 1",,1,75kg x 8,1,15kg x 12,1,64kg x 6,,,
,,,2,80kg x 8,2,15kg x 10,2,64kg x 6,,,
5 Jan,,,3,80kg x 8,3,15kg x 10,3,64kg x 6,,,
10,"60kg x 4 x 2
60kg x 6 x 1",,1,80kg x 8,1,15kg x 10,1,64kg x 8,,,
,,,2,80kg x 8,2,15kg x 10,2,64kg x 8,,,
12 Jan,,,3,80kg x 8,3,15kg x 10,3,64kg x 6,,,
